artifact_path,roof,tier,level,design,condition,model,seed,solved,score,golden,llm_calls,wall_seconds,has_decomposition,verilog_files
artifacts/curated/diagnostics/negative_runs/L4/band_pass_fir/debug/debug/mixed/band_pass_fir/C4i/42/result.json,curated,diagnostics,L4,band_pass_fir,C4i,gpt-5.5,42,False,,,28,1244.1,True,4
artifacts/curated/diagnostics/negative_runs/L4/band_pass_fir/debug/debug/mixed/band_pass_fir/C4tl/42/result.json,curated,diagnostics,L4,band_pass_fir,C4tl,gpt-5.5,42,False,3/1001,,29,2009.2,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/conv1d/C4i/gpt-5.5/42/result.json,curated,diagnostics,L5,conv1d,C4i,gpt-5.5,42,True,1/1,0/1,5,300.2,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/conv1d/C4tl/gpt-5.5/123/result.json,curated,diagnostics,L5,conv1d,C4tl,gpt-5.5,123,False,0/1,,2,271.0,True,5
artifacts/curated/diagnostics/not_golden_verified_imports/L5/conv1d/C4tl/gpt-5.5/123/result.json,curated,diagnostics,L5,conv1d,C4tl,gpt-5.5,123,True,16/16,,7,357.1,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/conv1d/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L5,conv1d,C4tl,gpt-5.5,42,True,1/1,0/16,5,422.0,True,5
artifacts/curated/diagnostics/not_golden_verified_imports/L5/conv1d/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L5,conv1d,C4tl,gpt-5.5,42,True,17/17,,6,283.3,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/conv1d/C4tl/gpt-5.5/456/result.json,curated,diagnostics,L5,conv1d,C4tl,gpt-5.5,456,False,0/1,,3,214.9,True,5
artifacts/curated/diagnostics/not_golden_verified_imports/L5/conv1d/C4tl/gpt-5.5/456/result.json,curated,diagnostics,L5,conv1d,C4tl,gpt-5.5,456,True,16/16,,8,445.9,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/conv2d/C4i/gpt-5.5/42/result.json,curated,diagnostics,L5,conv2d,C4i,gpt-5.5,42,True,1/1,0/1,6,739.0,True,6
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/conv2d/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L5,conv2d,C4tl,gpt-5.5,42,True,1/1,0/1,6,547.5,True,6
artifacts/curated/diagnostics/negative_runs/L5/dct_idct_8pt_pipelined/C4tl/gpt-5.5/mixed/dct_idct_8pt_pipelined/C4tl/42/result.json,curated,diagnostics,L5,dct_idct_8pt_pipelined,C4tl,gpt-5.5,42,False,0/1,,2,538.1,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/harris_corner_detection/C4i/gpt-5.5/42/result.json,curated,diagnostics,L5,harris_corner_detection,C4i,gpt-5.5,42,True,1/1,0/1,6,456.8,True,6
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/harris_corner_detection/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L5,harris_corner_detection,C4tl,gpt-5.5,42,True,1/1,0/1,6,527.3,True,6
artifacts/curated/diagnostics/not_golden_verified_imports/L5/systolic_gemm/C4tl/gpt-5.5/123/result.json,curated,diagnostics,L5,systolic_gemm,C4tl,gpt-5.5,123,True,32/32,,7,449.6,True,6
artifacts/curated/diagnostics/not_golden_verified_imports/L5/systolic_gemm/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L5,systolic_gemm,C4tl,gpt-5.5,42,True,32/32,,4,213.8,True,4
artifacts/curated/diagnostics/not_golden_verified_imports/L5/systolic_gemm/C4tl/gpt-5.5/456/result.json,curated,diagnostics,L5,systolic_gemm,C4tl,gpt-5.5,456,True,32/32,,4,195.3,True,4
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/unsharp_mask/C4i/gpt-5.5/42/result.json,curated,diagnostics,L5,unsharp_mask,C4i,gpt-5.5,42,True,1/1,62765/65536,6,289.9,True,6
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L5/unsharp_mask/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L5,unsharp_mask,C4tl,gpt-5.5,42,True,1/1,62256/65536,5,278.3,True,5
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L6/aes_decryption/C4i/gpt-5.5/42/result.json,curated,diagnostics,L6,aes_decryption,C4i,gpt-5.5,42,,,,,516.1,False,0
artifacts/curated/diagnostics/native_pass_or_stale_l5_l6/L6/aes_decryption/C4tl/gpt-5.5/42/result.json,curated,diagnostics,L6,aes_decryption,C4tl,gpt-5.5,42,True,1/1,0/8,6,405.2,True,6
