contract_run,design,c2g_runs,c2g_clean_solves,c2g_seeds_run,c2g_clean_seeds,c2g_scores,c2g_golden_scores,c2g_models,c2g_verification_sources,c2g_verifier_versions,c2g_llm_calls,c2g_wall_seconds,c4i_runs,c4i_clean_solves,c4i_seeds_run,c4i_clean_seeds,c4i_scores,c4i_golden_scores,c4i_models,c4i_verification_sources,c4i_verifier_versions,c4i_llm_calls,c4i_wall_seconds,c4tl_runs,c4tl_clean_solves,c4tl_seeds_run,c4tl_clean_seeds,c4tl_scores,c4tl_golden_scores,c4tl_models,c4tl_verification_sources,c4tl_verifier_versions,c4tl_llm_calls,c4tl_wall_seconds
acceptance_repaired_codex_gpt55_20260716,band_pass_fir,3,3,"42,123,456","42,123,456",1001/1001,1001/1001,gpt-5.5,strict_audit,strict-v2,6;5;8,803.4;561.3;675.3,3,0,"42,123,456",,2/1001;4/1001;5/1001,0/0,gpt-5.5,result_json,,26;28;26,3098.6;3475.3;3235.6,3,0,"42,123,456",,2/1001;5/1001,0/0,gpt-5.5,result_json,,2;3;3,206.5;205.3;293.3
acceptance_repaired_codex_gpt55_20260716,conv_3d,0,0,,,,,,,,,,1,1,456,456,23064/23064,23064/23064,gpt-5.5,strict_audit,strict-v2,5,1048.3,3,3,"42,123,456","42,123,456",23064/23064,23064/23064,gpt-5.5,strict_audit,strict-v2,6;3;5,441.4;212.4;448.8
acceptance_repaired_codex_gpt55_20260716,fp_band_pass_fir,3,3,"42,123,456","42,123,456",1000/1000,1000/1000,gpt-5.5,strict_audit,strict-v2,1;1;1,63.3;81.3;67.9,3,1,"42,123,456",456,1000/1000;19/1000;723/1000,1000/1000;19/1000;723/1000,gpt-5.5,"result_json,strict_audit",strict-v2,28;29;5,1365.5;1265.2;377.7,3,2,"42,123,456","123,456",1000/1000;706/1000,0/0;1000/1000,gpt-5.5,"result_json,strict_audit",strict-v2,5;1;5,155.7;321.6;306.6
acceptance_repaired_codex_gpt55_20260716,fp_high_pass_fir,3,3,"42,123,456","42,123,456",1000/1000,1000/1000,gpt-5.5,strict_audit,strict-v2,1;1;1,81.9;54.8;54.0,3,1,"42,123,456",123,0/0;1000/1000;2/1000,0/0;1000/1000;2/1000,gpt-5.5,"result_json,strict_audit",strict-v2,6;26;28,625.1;1304.6;3397.4,3,1,"42,123,456",123,1000/1000;19/1000;2/1000,0/0;1000/1000,gpt-5.5,"result_json,strict_audit",strict-v2,6;2;2,468.5;319.7;474.0
acceptance_repaired_codex_gpt55_20260716,fp_low_pass_fir,3,3,"42,123,456","42,123,456",1000/1000,1000/1000,gpt-5.5,strict_audit,strict-v2,1;1;1,64.1;52.0;62.5,3,1,"42,123,456",123,1000/1000;2/1000,0/0;1000/1000;2/1000,gpt-5.5,"result_json,strict_audit",strict-v2,10;28;26,505.3;1190.3;3657.4,3,2,"42,123,456","42,456",1/1000;1000/1000,0/0;1000/1000,gpt-5.5,"result_json,strict_audit",strict-v2,2;8;4,271.5;756.3;309.5
acceptance_repaired_codex_gpt55_20260716,harris_corner_detection,3,3,"42,123,456","42,123,456",16384/16384,16384/16384,gpt-5.5,strict_audit,strict-v2,3;3;5,329.2;402.5;517.3,3,0,"42,123,456",,16257/16384;16318/16384;16340/16384,16257/16384;16318/16384;16340/16384,gpt-5.5,result_json,,29;26;26,1111.8;845.7;894.5,3,0,"42,123,456",,0/1;16328/16384,0/0,gpt-5.5,result_json,,3;3;3,322.6;291.1;379.7
acceptance_repaired_codex_gpt55_20260716,high_pass_fir,3,2,"42,123,456","42,456",1001/1001;7/1001,0/0;1001/1001,gpt-5.5,"result_json,strict_audit",strict-v2,30;25;14,1999.7;1418.5;913.4,2,0,"42,123",,3/1001;7/1001,0/0,gpt-5.5,result_json,,28;28,927.3;1360.1,3,0,"42,123,456",,4/1001;5/1001,0/0,gpt-5.5,result_json,,3;3;3,229.0;217.1;518.8
acceptance_repaired_codex_gpt55_20260716,low_pass_fir,3,2,"42,123,456","123,456",1001/1001;8/1001,0/0;1001/1001,gpt-5.5,"result_json,strict_audit",strict-v2,15;30;12,802.5;1813.8;692.7,2,0,"42,456",,3/1001,0/0,gpt-5.5,result_json,,29;29,971.7;1136.1,3,0,"42,123,456",,3/1001,0/0,gpt-5.5,result_json,,2;2;3,303.7;341.7;185.4
acceptance_repaired_codex_gpt55_20260716,newton_raphson_polynomial,0,0,,,,,,,,,,2,1,"42,123",42,90/97;97/97,0/0;97/97,gpt-5.5,"result_json,strict_audit",strict-v2,25;23,687.7;946.1,2,1,"42,123",42,16/97;97/97,0/0;97/97,gpt-5.5,"result_json,strict_audit",strict-v2,3;9,211.5;388.8
acceptance_repaired_codex_gpt55_20260716,quantized_matmul,0,0,,,,,,,,,,0,0,,,,,,,,,,3,3,"42,123,456","42,123,456",64/64,64/64,gpt-5.5,strict_audit,strict-v2,4;5;4,172.1;278.8;153.2
c2g_artifact_collection_20260709_repaired,conv_3d,3,3,"42,123,456","42,123,456",23064/23064,23064/23064,gpt-5.5,strict_audit,strict-v2,1;1;1,60.1;61.0;113.8,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_contracts_20260705,conv_3d,3,3,"42,123,456","42,123,456",23064/23064,23064/23064,gpt-5.5,result_json,,1;1;1,63.4;76.4;75.3,2,2,"42,123","42,123",23064/23064,23064/23064,gpt-5.5,strict_audit,strict-v2,5;5,858.5;542.7,3,0,"42,123,456",,0/0;0/1,0/0;0/1,gpt-5.5,result_json,,29;1;2,3325.2;419.1;400.2
repaired_contracts_20260705,quantized_matmul,3,0,"42,123,456",,0/0,0/0,gpt-5.5,result_json,,30;30;30,2574.9;2422.8;2556.7,3,0,"42,123,456",,0/0,0/0,gpt-5.5,result_json,,28;28;28,2039.1;1876.0;2191.3,3,0,"42,123,456",,0/0,0/0,gpt-5.5,result_json,,3;3;2,307.2;330.7;379.1
repaired_contracts_20260705,systolic_gemm,3,0,"42,123,456",,0/0,0/0,gpt-5.5,result_json,,30;30;30,2253.5;2224.2;2287.0,3,0,"42,123,456",,,0/0,gpt-5.5,result_json,,29;28;28,1043.2;1476.7;1241.7,3,0,"42,123,456",,0/0,0/0,gpt-5.5,result_json,,2;3;2,312.1;289.0;297.7
repaired_contracts_multich_conv2d_20260705,multich_conv2d,3,3,"42,123,456","42,123,456",30752/30752,30752/30752,gpt-5.5,strict_audit,strict-v2,1;1;1,63.2;74.3;63.1,3,3,"42,123,456","42,123,456",30752/30752,30752/30752,gpt-5.5,strict_audit,strict-v2,5;5;5,712.9;423.4;826.6,3,3,"42,123,456","42,123,456",30752/30752,30752/30752,gpt-5.5,strict_audit,strict-v2,5;4;6,326.9;291.8;571.2
repaired_contracts_qgemm_runnerfix_pilot_20260705,quantized_matmul,3,3,"42,123,456","42,123,456",64/64,64/64,gpt-5.5,strict_audit,strict-v2,1;1;1,84.1;87.9;81.1,3,3,"42,123,456","42,123,456",64/64,64/64,gpt-5.5,strict_audit,strict-v2,4;4;4,276.2;298.5;281.9,3,0,"42,123,456",,0/0,0/0,gpt-5.5,result_json,,3;0;3,318.0;348.0;345.2
repaired_contracts_systolic_codex_gpt55_20260716,systolic_gemm,3,3,"42,123,456","42,123,456",33/33,33/33,gpt-5.5,strict_audit,strict-v2,1;2;1,31.0;64.3;34.2,3,3,"42,123,456","42,123,456",33/33,33/33,gpt-5.5,strict_audit,strict-v2,4;5;4,132.3;135.8;116.7,3,3,"42,123,456","42,123,456",33/33,33/33,gpt-5.5,strict_audit,strict-v2,4;4;2,123.0;153.0;78.9
repaired_fir_l4_c2g_pilot_20260706,band_pass_fir,1,0,42,,1/1001,0/0,gpt-5.5,result_json,,30,2828.4,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fir_l4_c2g_pilot_20260706,high_pass_fir,1,0,42,,4/1001,0/0,gpt-5.5,result_json,,30,2614.7,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fir_l4_c2g_pilot_20260706,low_pass_fir,1,0,42,,3/1001,0/0,gpt-5.5,result_json,,30,2737.9,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fir_l4_c4i_pilot_20260706,band_pass_fir,0,0,,,,,,,,,,1,0,42,,5/1001,0/0,gpt-5.5,result_json,,29,1832.6,0,0,,,,,,,,,
repaired_fir_l4_c4i_pilot_20260706,high_pass_fir,0,0,,,,,,,,,,1,0,42,,4/1001,0/0,gpt-5.5,result_json,,29,1828.0,0,0,,,,,,,,,
repaired_fir_l4_c4i_pilot_20260706,low_pass_fir,0,0,,,,,,,,,,1,0,42,,5/1001,0/0,gpt-5.5,result_json,,29,1842.4,0,0,,,,,,,,,
repaired_fir_l4_c4tl_pilot_20260706,band_pass_fir,0,0,,,,,,,,,,0,0,,,,,,,,,,1,0,42,,2/1001,0/0,gpt-5.5,result_json,,3,394.4
repaired_fir_l4_c4tl_pilot_20260706,high_pass_fir,0,0,,,,,,,,,,0,0,,,,,,,,,,1,0,42,,0/1001,0/0,gpt-5.5,result_json,,3,326.2
repaired_fir_l4_c4tl_pilot_20260706,low_pass_fir,0,0,,,,,,,,,,0,0,,,,,,,,,,1,0,42,,3/1001,0/0,gpt-5.5,result_json,,3,354.0
repaired_fp_fir_c2g_pilot_20260707,fp_band_pass_fir,1,0,42,,1000/1000,1/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,4,264.3,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fp_fir_c2g_pilot_20260707,fp_high_pass_fir,1,0,42,,1000/1000,2/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,5,364.9,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fp_fir_c2g_seeds_20260707,fp_band_pass_fir,2,0,"123,456",,1000/1000,18/1000;19/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,9;10,580.4;576.9,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fp_fir_c2g_seeds_20260707,fp_high_pass_fir,2,0,"123,456",,1000/1000,0/1000;20/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,5;4,359.3;237.7,0,0,,,,,,,,,,0,0,,,,,,,,,
repaired_fp_fir_c4_pilot_20260707,fp_band_pass_fir,0,0,,,,,,,,,,1,0,42,,804/1000,0/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,26,1229.4,1,0,42,,0/1000,0/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,1,320.9
repaired_fp_fir_c4_pilot_20260707,fp_high_pass_fir,0,0,,,,,,,,,,1,0,42,,969/1000,0/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,29,2598.6,1,0,42,,969/1000,0/1000,gpt-5.5,strict_audit,tight-fp32-exact-length-v1,2,273.4
