level,design,c1_runs,c1_clean_solves,c1_seeds_run,c1_clean_seeds,c1_models,c1_scores,c1_golden_scores,c1_verification_sources,c1_verifier_versions,c2g_runs,c2g_clean_solves,c2g_seeds_run,c2g_clean_seeds,c2g_models,c2g_scores,c2g_golden_scores,c2g_verification_sources,c2g_verifier_versions,c4i_runs,c4i_clean_solves,c4i_seeds_run,c4i_clean_seeds,c4i_models,c4i_scores,c4i_golden_scores,c4i_verification_sources,c4i_verifier_versions,c4tl_runs,c4tl_clean_solves,c4tl_seeds_run,c4tl_clean_seeds,c4tl_models,c4tl_scores,c4tl_golden_scores,c4tl_verification_sources,c4tl_verifier_versions
L3,fp_adder,5,0,"42,123,456,789,1024",,gpt-5.5,34/36;35/36,0/0,result_json,,5,1,"42,123,456,789,1024",42,gpt-5.5,35/36;36/36,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,36/36,36/36,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,36/36,0/0,result_json,
L3,fp_multiplier,5,0,"42,123,456,789,1024",,gpt-5.5,0/0;6/10;7/10,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,6/10;7/10,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,10/10,10/10,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,10/10,0/0,result_json,
L3,gauss_siedel,3,0,"42,123,456",,gpt-5.5,45/50,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,45/50,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,50/50,50/50,strict_audit,strict-v2,3,1,"42,123,456",123,gpt-5.5,47/50;49/50;50/50,0/0,result_json,
L3,gradient_descent,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,50/50,50/50,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,50/50,0/0,result_json,
L3,newton_raphson_polynomial,3,0,"42,123,456",,gpt-5.5,9/100,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,17/100;89/100,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,17/100,0/0,result_json,
L3,newton_raphson_sqrt,3,0,"42,123,456",,gpt-5.5,1/50,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,50/50,50/50,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,50/50,0/0,result_json,
L4,band_pass_fir,3,0,"42,123,456",,gpt-5.5,1/1001,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0;1/1001,0/0,result_json,,1,0,42,,gpt-5.5,,,result_json,,1,0,42,,gpt-5.5,3/1001,0/0,result_json,
L4,fft_16pt_iterative,3,0,"42,123,456",,gpt-5.5,0/1;22/33,0/0;0/1,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,33/33,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/1,0/0;0/1,result_json,,5,5,"42,123,456,789,1024","42,123,456,789,1024",gpt-5.5,33/33,33/33,strict_audit,strict-v2
L4,fp_adder_pipeline,3,3,"42,123,456","42,123,456",gpt-5.5,23/23,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,23/23,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,23/23,0/0,result_json,,5,5,"42,123,456,789,1024","42,123,456,789,1024",gpt-5.5,23/23,23/23,strict_audit,strict-v2
L4,fp_mult_pipeline,3,3,"42,123,456","42,123,456",gpt-5.5,31/31,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,31/31,0/0,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,31/31,0/0,result_json,,5,5,"42,123,456,789,1024","42,123,456,789,1024",gpt-5.5,31/31,31/31,strict_audit,strict-v2
L4,high_pass_fir,3,0,"42,123,456",,gpt-5.5,3/1001,0/0,result_json,,3,1,"42,123,456",42,gpt-5.5,1001/1001;3/1001,0/0,result_json,,1,0,42,,gpt-5.5,,,result_json,,1,0,42,,gpt-5.5,,,result_json,
L4,ifft_16pt_iterative,3,0,"42,123,456",,gpt-5.5,0/1,0/1,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,33/33,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/1;14/33,0/0;0/1,result_json,,5,5,"42,123,456,789,1024","42,123,456,789,1024",gpt-5.5,33/33,33/33,strict_audit,strict-v2
L4,low_pass_fir,3,0,"42,123,456",,gpt-5.5,0/0;3/1001,0/0,result_json,,3,1,"42,123,456",456,gpt-5.5,1001/1001;3/1001,0/0,result_json,,1,0,42,,gpt-5.5,,0/0,result_json,,1,0,42,,gpt-5.5,,,result_json,
L5,conv1d,3,3,"42,123,456","42,123,456",gpt-5.5,16/16,16/16,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,16/16,16/16,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,16/16,16/16,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,16/16,16/16,strict_audit,strict-v2
L5,conv2d,3,0,"42,123,456",,gpt-5.5,2001/4096;2677/4096,2001/4096;2677/4096,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,4096/4096,4096/4096,strict_audit,strict-v2,3,0,"42,123,456",,gpt-5.5,2548/4096;4094/4096,2548/4096;4094/4096,result_json,,3,0,"42,123,456",,gpt-5.5,0/1;2875/4096,0/0;0/1,result_json,
L5,dct_idct_8pt_pipelined,3,0,"42,123,456",,gpt-5.5,0/1;0/16,0/1;0/16,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,16/16,16/16,strict_audit,strict-v2,3,0,"42,123,456",,gpt-5.5,0/1;0/16,0/1;0/16,result_json,,3,0,"42,123,456",,gpt-5.5,0/1;0/16,0/0;0/16,result_json,
L5,harris_corner_detection,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,16384/16384,16177/16384;16223/16384;16346/16384,strict_audit,strict-v2,3,0,"42,123,456",,gpt-5.5,16384/16384,15446/16384;15484/16384;16264/16384,strict_audit,strict-v2,3,0,"42,123,456",,gpt-5.5,0/1;1/1,0/0;0/1,result_json,
L5,systolic_gemm,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,0,0,,,,,,,,1,0,42,,gpt-5.5,,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,32/32,,result_json,
L5,unsharp_mask,3,0,"42,123,456",,gpt-5.5,39257/65536;61723/65536;61992/65536,39257/65536;61723/65536;61992/65536,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,65536/65536,65536/65536,strict_audit,strict-v2,3,0,"42,123,456",,gpt-5.5,1/1;63057/65536;63482/65536,62765/65536;63057/65536;63482/65536,result_json,,3,1,"42,123,456",456,gpt-5.5,1/1;1112/65536;65536/65536,0/0;62256/65536;65536/65536,"result_json,strict_audit",strict-v2
L6,aes_decryption,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,"result_json,strict_audit",strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,strict_audit,strict-v2
L6,aes_encryption,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,result_json,,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,1/1;8/8,8/8,strict_audit,strict-v2,3,3,"42,123,456","42,123,456",gpt-5.5,8/8,8/8,strict_audit,strict-v2
L6,conv_3d,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0;0/23064,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0;0/23064,result_json,
L6,fft_streaming_64pt,3,0,"42,123,456",,gpt-5.5,0/0;0/1,0/0;0/1,result_json,,5,1,"42,123,456,789,1024",42,gpt-5.5,0/0;0/1;0/128;128/128,0/0;0/1;0/128;128/128,result_json,,3,0,"42,123,456",,gpt-5.5,0/1;0/128;1/1,0/1;0/128,result_json,,3,0,"42,123,456",,gpt-5.5,0/1;1/1,0/0;0/1,result_json,
L6,fp_band_pass_fir,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,0,0,,,,,,,,1,0,42,,gpt-5.5,0/1,0/1,result_json,,0,0,,,,,,,
L6,fp_high_pass_fir,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,0,0,,,,,,,,1,0,42,,gpt-5.5,0/1,0/1,result_json,,0,0,,,,,,,
L6,fp_low_pass_fir,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,0,0,,,,,,,,1,0,42,,gpt-5.5,0/1,0/1,result_json,,0,0,,,,,,,
L6,multich_conv2d,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,
L6,quantized_matmul,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0;0/8,result_json,,3,0,"42,123,456",,gpt-5.5,0/0,0/0;0/8,result_json,
